"","exp","id","condition","block","isold","item","rating"
"1","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"compost",6
"2","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"advisor",5
"3","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"holiday",6
"4","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"sandman",2
"5","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"pottery",6
"6","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"masseur",1
"7","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"platoon",1
"8","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"printer",3
"9","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"drizzle",3
"10","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"anatomy",5
"11","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"aspirin",6
"12","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"inverse",6
"13","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"overlap",6
"14","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"fuchsia",5
"15","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"tenancy",6
"16","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"consent",5
"17","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"dreamer",6
"18","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"whiskey",6
"19","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"showman",5
"20","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"ruffian",6
"21","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"asphalt",6
"22","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"skinner",1
"23","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"antique",6
"24","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"goddess",2
"25","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"hostage",2
"26","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"synonym",6
"27","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"caliper",6
"28","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"nurture",5
"29","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"mastiff",6
"30","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"postman",6
"31","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"trimmer",3
"32","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"foreman",4
"33","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"liqueur",6
"34","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"primate",6
"35","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"malaise",1
"36","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"skipper",2
"37","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"hairpin",4
"38","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"rapture ",6
"39","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"vintage",1
"40","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"insulin",6
"41","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"chutney",6
"42","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"whisper",4
"43","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"granite",1
"44","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"hillman",1
"45","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"floater",6
"46","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"polemic",1
"47","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"reverie",6
"48","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"paragon",2
"49","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"anguish",1
"50","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"perjury",6
"51","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"kinetic",4
"52","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"passive",2
"53","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"slumber",6
"54","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"scuffle",3
"55","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"cunning",1
"56","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"bedtime",1
"57","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"ocarina",3
"58","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"mansion",3
"59","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"spangle",6
"60","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"cushion",2
"61","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"chimney",2
"62","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"regency",2
"63","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"adviser",2
"64","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"defence",1
"65","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"devisee",1
"66","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"pitfall",1
"67","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"monarch",5
"68","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"backlog",2
"69","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"seminar",2
"70","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"burglar",5
"71","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"phoenix",6
"72","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"stopper",1
"73","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"trickle",4
"74","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"vaccine",3
"75","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"novelty",4
"76","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"haddock",6
"77","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"overlay",3
"78","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"planter",2
"79","SB2020_e1","SB2020_e1_1","FixedStudy",1,0,"fatigue",2
"80","SB2020_e1","SB2020_e1_1","FixedStudy",1,1,"magenta",6
