"","exp","id","condition","block","isold","item","rating"
"1","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"tempo",3
"2","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"slang",1
"3","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"joker",5
"4","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"manic",3
"5","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"pumps",2
"6","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"wares",6
"7","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"abide",6
"8","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"debit",1
"9","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"birch",6
"10","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"boast",6
"11","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"dwarf",6
"12","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"tally",2
"13","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"sheds",5
"14","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"goody",2
"15","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"tonic",2
"16","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"teeny",4
"17","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"annoy",2
"18","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"canon",2
"19","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"brunt",2
"20","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"melts",3
"21","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"fakes",4
"22","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"cigar",1
"23","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"exile",6
"24","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"wakes",6
"25","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"lamps",6
"26","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"bolts",6
"27","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"decay",6
"28","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"cluck",1
"29","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"chime",2
"30","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"spear",2
"31","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"twigs",2
"32","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"hymns",6
"33","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"essay",3
"34","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"yolks",3
"35","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"grate",2
"36","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"fatty",1
"37","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"cents",1
"38","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"nudge",1
"39","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"biker",3
"40","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"flask",1
"41","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"quota",2
"42","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"scams",6
"43","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"skins",3
"44","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"bland",3
"45","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"apron",2
"46","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"dunes",4
"47","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"slack",6
"48","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"stump",2
"49","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"cubes",5
"50","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"algae",2
"51","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"bowel",1
"52","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"munch",2
"53","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"broom",2
"54","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"linen",3
"55","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"deeds",1
"56","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"miner",4
"57","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"tides",2
"58","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"leafy",1
"59","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"slugs",6
"60","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"spade",6
"61","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"germs",5
"62","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"graph",3
"63","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"notch",3
"64","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"tweak",3
"65","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"cello",3
"66","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"necks",3
"67","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"filth",4
"68","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"tapes",2
"69","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"voter",6
"70","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"crest",3
"71","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"grape",2
"72","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"flute",5
"73","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"ethos",3
"74","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"inter",5
"75","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"baulk",1
"76","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"craze",2
"77","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"beers",2
"78","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"genie",2
"79","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"masks",3
"80","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"tenor",1
"81","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"finer",1
"82","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"aunts",6
"83","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"gorge",6
"84","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"quail",3
"85","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"perch",6
"86","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"budge",5
"87","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"mixer",3
"88","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"wrath",3
"89","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"porch",4
"90","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"probe",2
"91","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"panto",1
"92","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"myths",4
"93","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"moths",3
"94","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"cling",2
"95","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"fairs",1
"96","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"tutor",2
"97","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"cloak",2
"98","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"pagan",2
"99","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"belts",1
"100","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"rehab",1
"101","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"troop",2
"102","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"leaks",1
"103","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"shone",2
"104","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"tramp",6
"105","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"sworn",3
"106","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"sewer",2
"107","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"roofs",1
"108","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"baths",1
"109","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"stomp",2
"110","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"sucks",3
"111","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"cumin",6
"112","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"basin",4
"113","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"slime",5
"114","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"bangs",2
"115","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"comin",1
"116","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"vogue",2
"117","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"tarts",1
"118","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"stead",2
"119","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"caddy",4
"120","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"gypsy",3
"121","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"flair",2
"122","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"crook",1
"123","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"vomit",2
"124","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"broth",3
"125","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"ratio",6
"126","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"booty",4
"127","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"slash",2
"128","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"poets",6
"129","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"demon",2
"130","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"obese",3
"131","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"plums",2
"132","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"moody",4
"133","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"warns",2
"134","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"cuppa",3
"135","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"moons",1
"136","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"remit",1
"137","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"lager",6
"138","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"baton",2
"139","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"hints",2
"140","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"fries",1
"141","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"gavel",1
"142","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"whiff",5
"143","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"fudge",6
"144","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"ounce",4
"145","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"midst",3
"146","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"bossy",2
"147","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"siren",2
"148","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"tease",6
"149","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"menus",2
"150","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"wills",3
"151","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"misty",2
"152","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"macho",1
"153","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"swine",5
"154","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"clamp",2
"155","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"buggy",4
"156","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"manly",2
"157","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"plots",3
"158","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"mound",1
"159","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"cones",3
"160","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"swamp",3
"161","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"scans",6
"162","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"spins",2
"163","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"babes",6
"164","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"comet",1
"165","SB2020_e3","SB2020_e3_1","FixedFrequency",1,0,"girly",1
"166","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"merit",5
"167","SB2020_e3","SB2020_e3_1","FixedFrequency",1,1,"sieve",2
